"","zipcode","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","lat","long","sqft_living15","sqft_lot15","built_percent","idade_imovel","idade_ultima_reforma","zip_count","zip_avg_price","zip_median_price","zip_min_price","zip_max_price","zip_avg_sqft_living","zip_avg_built_percent"
"1",98001,6306100190,2014-05-21,220000,4,2.5,2160,8005,2,0,0,3,7,2160,0,1993,0,47.2668,-122.231,1790,8016,0.269831355402873,28,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"2",98001,4012800050,2014-05-21,175000,3,1.75,1230,13056,1,0,0,4,7,1230,0,1962,0,47.3171,-122.279,1690,15750,0.0942095588235294,59,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"3",98001,3356407665,2014-09-24,180000,3,1.75,1330,16000,1,0,0,3,7,1330,0,1978,0,47.28,-122.257,1330,14374,0.083125,43,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"4",98001,3356403820,2014-12-05,115000,2,1,1000,16524,1,0,0,3,5,1000,0,1913,0,47.2841,-122.255,1350,10208,0.0605180343742435,108,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"5",98001,3422049088,2015-03-24,389000,3,1.75,2180,9220,1,0,0,4,7,1090,1090,1938,0,47.3547,-122.285,2050,22400,0.23644251626898,83,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"6",98001,2005950050,2014-05-27,260000,3,2,1630,8018,1,0,0,3,7,1630,0,2003,0,47.2638,-122.243,1610,8397,0.203292591668745,18,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"7",98001,1389600080,2014-07-10,277950,4,2.5,1889,6000,2,0,0,3,7,1889,0,2012,0,47.2676,-122.256,1990,6350,0.314833333333333,9,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"8",98001,6648760150,2014-07-28,315000,3,2.5,1600,7982,2,0,0,3,8,1600,0,1993,0,47.3397,-122.266,1890,9830,0.200451014783262,28,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"9",98001,6143600555,2014-06-09,229950,4,1.75,1300,21000,1,0,0,4,7,1300,0,1969,0,47.3067,-122.285,2120,9920,0.0619047619047619,52,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
"10",98001,5413200140,2014-10-21,213550,3,2.5,1580,8541,2,0,0,3,7,1580,0,1990,0,47.3334,-122.289,1640,7542,0.184990048003747,31,0,326,276826.346625767,255000,1e+05,850000,1883.77300613497,0.214145983111316
